Майкоп,144055,maykop
Горно-Алтайск,62861,gorno-altaysk
Алейск,28528,aleysk
Барнаул,635585,barnaul
Белокуриха,15072,belokuriha
Бийск,203826,biysk
Заринск,47035,zarinsk
Камень-на-Оби,41787,kamen-na-obi
Новоалтайск,73134,novoaltaysk
Рубцовск,146386,rubtsovsk
Славгород,30370,slavgorod
Яровое,18085,yarovoe
Белогорск,16354,belogorsk
Благовещенск,34246,amurskaya_oblast_blagoveschensk
Зея,25042,zeya
Райчихинск,20499,raychihinsk
Свободный,58594,amurskaya_oblast_svobodnyy
Тында,35574,tynda
Шимановск,19815,shimanovsk
Архангельск,348716,arhangelsk
Вельск,23885,velsk
Коряжма,39629,koryazhma
Котлас,60562,kotlas
Мирный,37179,saha_yakutiya_mirnyy
Новодвинск,40612,novodvinsk
Няндома,22354,nyandoma
Онега,21359,onega
Северодвинск,192265,severodvinsk
Астрахань,520662,astrahan
Ахтубинск,41898,ahtubinsk
Знаменск,29357,astrahanskaya_oblast_znamensk
Камызяк,16291,kamyzyak
Харабали,18209,harabali
Агидель,16365,agidel
Баймак,17710,baymak
Белебей,60183,belebey
Белорецк,68804,beloretsk
Бирск,41637,birsk
Давлеканово,24040,davlekanovo
Дюртюли,31272,dyurtyuli
Ишимбай,66259,ishimbay
Кумертау,62854,kumertau
Межгорье,17353,mezhgore
Мелеуз,61408,meleuz
Нефтекамск,121757,neftekamsk
Октябрьский,109379,bashkortostan_oktyabrskiy
Салават,156085,salavat
Сибай,62732,sibay
Стерлитамак,273432,sterlitamak
Туймазы,66849,tuymazy
Уфа,1062300,ufa
Учалы,37771,bashkortostan_uchaly
Янаул,26988,yanaul
Алексеевка,39026,bashkortostan_alekseevka
Белгород,356426,belgorod
Валуйки,35322,valuyki
Губкин,88562,gubkin
Новый Оскол,19530,novyy_oskol
Старый Оскол,221163,staryy-oskol
Строитель,23933,belgorodskaya_oblast_stroitel
Шебекино,44277,shebekino
Брянск,415640,bryansk
Дятьково,29438,dyatkovo
Жуковка,18269,zhukovka
Карачев,19715,karachev
Клинцы,62510,klintsy
Новозыбков,40552,novozybkov
Почеп,17933,pochep
Сельцо,17933,seltso
Стародуб,19010,starodub
Трубчевск,15014,trubchevsk
Унеча,26196,unecha
Гусиноозерск,23280,gusinoozersk
Кяхта,20013,kyahta
Северобайкальск,23673,severobaykalsk
Улан-Удэ,431922,ulan-ude
Александров,61544,aleksandrov
Владимир,348256,vladimir
Вязники,41252,vyazniki
Гусь-Хрустальный,60773,gus-hrustalnyy
Киржач,30044,kirzhach
Ковров,145492,kovrov
Кольчугино,45804,kolchugino
Лакинск,15707,lakinsk
Меленки,15208,melenki
Муром,116078,murom
Петушки,15167,petushki
Покров,17762,pokrov
Радужный,43394,vladimirskaya_oblast_raduzhnyy
Собинка,19482,sobinka
Юрьев-Польский,19588,yurev-polskiy
Волгоград,1021244,volgograd
Волжский,314436,volgogradskaya_oblast_volzhskiy
Жирновск,16890,zhirnovsk
Калач-на-Дону,26892,kalach-na-donu
Камышин,119924,kamyshin
Котельниково,20441,kotelnikovo
Котово,24104,kotovo
Краснослободск,16007,volgogradskaya_oblast_krasnoslobodsk
Ленинск,15527,leninsk
Михайловка,59153,volgogradskaya_oblast_mihaylovka
Николаевск,15081,nikolaevsk
Новоаннинский,17911,novoanninskiy
Палласовка,15984,pallasovka
Суровикино,20527,surovikino
Урюпинск,41594,uryupinsk
Фролово,39489,frolovo
Великий Устюг,31664,velikiy_ustyug
Вологда,301642,vologda
Грязовец,15528,gryazovets
Сокол,38454,vologodskaya_oblast_sokol
Череповец,312311,cherepovets
Бобров,19738,bobrov
Борисоглебск,65585,borisoglebsk
Бутурлиновка,27208,buturlinovka
Воронеж,889680,voronezh
Калач,20046,kalach
Лиски,55864,liski
Нововоронеж,32635,novovoronezh
Острогожск,33842,ostrogozhsk
Павловск,25126,voronezhskaya_oblast_pavlovsk
Поворино,17692,povorino
Россошь,62865,rossosh
Семилуки,26025,semiluki
Буйнакск,65735,buynaksk
Дагестанские Огни,30671,dagestanskie_ogni
Дербент,119961,derbent
Избербаш,56301,izberbash
Каспийск,103914,kaspiysk
Кизилюрт,36187,kizilyurt
Кизляр,49169,dagestan_kizlyar
Махачкала,577990,mahachkala
Хасавюрт,133929,hasavyurt
Биробиджан,75419,birobidzhan
Борзя,31376,borzya
Краснокаменск,55668,zabaykalskiy_kray_krasnokamensk
Петровск-Забайкальский,18555,petrovsk-zabaykalskiy
Чита,323964,chita
Вичуга,37609,vichuga
Иваново,409277,ivanovo
Кинешма,88113,kineshma
Кохма,29408,kohma
Приволжск,16749,privolzhsk
Родники,26318,ivanovskaya_oblast_rodniki
Тейково,34993,teykovo
Фурманов,36149,furmanov
Шуя,58528,ivanovskaya_oblast_shuya
Карабулак,31081,karabulak
Малгобек,31076,malgobek
Назрань,93357,nazran
Сунжа,64493,sunzha
Ангарск,233765,angarsk
Бодайбо,15331,bodaybo
Братск,246348,bratsk
Вихоревка,22528,vihorevka
Железногорск-Илимский,26134,zheleznogorsk-ilimskiy
Зима,32522,zima
Иркутск,587225,irkutsk
Нижнеудинск,37056,nizhneudinsk
